session_id,student_emotion_before,student_first_dialogue
155,Pressure,"I just feel so much pressure to win competitions. My parents are always pushing me to be the best, and I don't want to let them down. I've been practicing for hours every day, but I still feel like I'm not good enough."
135,Worry,"Hi, I'm just really struggling with overthinking everything lately. I feel like I'm always worried about something or other, and it's exhausting. I'm constantly replaying conversations in my head, wondering what people think of me, and fearing the worst-case scenario. I just can't seem to shut my brain off."
121,Stress,"Hi, I've been feeling really overwhelmed lately. I just can't stop overthinking everything. I'll be doing something as simple as ordering food, and my mind starts racing with all these ""what-ifs"" and worries. It's exhausting. I just feel so stressed all the time."
34,Pressure,"I'm feeling so much pressure to win competitions. My parents, coaches, and even my friends all expect me to come out on top. I feel like I'm going to let them down if I don't win."
12,Isolation,"Hey, I don't know how to explain this, but I just feel so anxious around my classmates. I avoid group projects, skip parties, and hardly ever speak up in class. I just feel like I'm not good enough and that everyone's judging me. I've started to withdraw from social situations altogether. It's like I'm stuck in this bubble of isolation."
277,Uncertainty,"Hi, I'm just feeling really lost right now. I don't know what I want to do with my life, and it's like everyone around me has their act together except for me. I feel so uncertain about my future."
136,Insecurity,"Hi, I'm feeling really overwhelmed and insecure about my academic performance. I just got into a top university, but I feel like I don't belong here. I'm constantly worried that someone will find out I'm not smart enough or capable enough to be here."
278,Self-Doubt,"I feel so defeated. I've applied to countless internships and jobs, but I've gotten rejected from all of them. I'm starting to think I'm just not good enough. Maybe I'm not cut out for this."
282,Anxiety,"(nervously) Hi, counselor. I'm really struggling with exam stress. I just can't seem to focus on my studies and I'm starting to feel overwhelmed. I'm worried I'm going to fail."
93,Frustration,"I'm so frustrated, I don't know how to deal with this injury. I was at the top of my game, and now I'm sidelined. It's like my identity is taken away from me."
327,Stress,"Hi, I'm feeling so overwhelmed with my coursework and assignments. I've been studying nonstop for weeks, and I just can't seem to keep up. I'm constantly stressed and exhausted. I feel like I'm burning out."
434,Uncertainty,"Hi, I'm just feeling really lost right now. I'm not sure what I want to do with my life, and it's freaking me out. I feel like all my friends have their lives together, and I'm just stuck."
243,Burnout,"Hi, I just feel so burnt out. I've been training for months, and I just can't seem to find the motivation to keep going. I used to love it, but now it all just feels like a chore."
79,Frustration,"I'm so frustrated, I was playing my best soccer season ever, and then I tore my ACL. Now I'm stuck on the sidelines watching my team play without me. It's like my whole identity was wrapped up in being an athlete, and now that's taken away from me."
96,Frustration,"(frustrated) I just can't believe this happened to me. I was on top of my game, and now I'm sidelined with an injury. It's so unfair. I was supposed to be the team captain this year."
32,Insecurity,"Hi, I'm feeling really down today. I feel like I'm always left out of social gatherings and hangouts with my friends. It's like they're all having fun without me, and I'm just stuck on the outside looking in. It makes me feel so insecure and unwanted."
395,Burnout,"Hey, I don't know what's going on with me. I just feel so unmotivated to train anymore. I used to love it, but now it just feels like a chore. I'm tired, physically and mentally. I just want to give up."
112,Stress,"Hi, I've been feeling really overwhelmed lately. I just can't stop thinking about everything, from my grades to my relationships to what I'm going to do after graduation. It's like my mind is constantly racing and I just can't turn it off. I'm feeling so stressed out."
168,Guilt,"Hi, I'm really struggling with managing my money. I always seem to overspend and then I feel so guilty about it. I don't know how to break the cycle."
171,Insecurity,"I don't know, I just feel like I'm not good enough. Everyone else seems to be doing so well, and I'm just struggling to keep up. I feel like I'm failing somehow."
332,Overthinking,"Hi, I'm just feeling really overwhelmed. I know I need to set some goals for myself, but every time I try, I get stuck. I just can't seem to figure out what I want or what's realistic. I've been thinking about it nonstop, and it's driving me crazy."
411,Sadness,"Hi, I'm really struggling with feeling left out lately. My friends always seem to be hanging out without me, and it makes me feel so sad and unwanted."
304,Discouragement,"Hi, I'm just feeling so discouraged. I'm trying to get into a good college, but I'm scared I won't make it. I've always dreamed of getting into my top choice, but what if I'm not good enough?"
113,Self-Doubt,"Hi, I'm really struggling with this feeling of fear that I'm going to let my team down. We're working on a big project and I'm responsible for a crucial part, but I'm just worried that I'm not good enough and that I'll mess everything up."
98,Regret,I'm just feeling so overwhelmed by my student loans. I regret taking out so much money. I feel like I'll be paying them off for the rest of my life. I'm not even sure if it was worth it.
497,Isolation,"I don't know why, but I just feel like I don't fit in anywhere. I see people laughing and chatting with each other, and I just can't seem to connect with anyone. I've been avoiding social gatherings and just sticking to myself, but it's getting really lonely."
187,Overwhelm,"Hi, I'm feeling really overwhelmed. I'm on the school basketball team, and our season is starting soon. At the same time, I have a lot of assignments and projects due in my classes. I don't know how I'm going to balance everything. I'm worried that I'll fail my classes or disappoint my coaches."
440,Worry,"Hi, I'm really worried about my financial situation. I'm struggling to pay my tuition fees and living expenses. I feel like I'm drowning in debt and it's affecting my studies. I don't know what to do."
490,Overwhelm,"Hi, I'm feeling completely overwhelmed. I just can't keep up with my coursework anymore. I'm constantly worried about grades, and it's taking a toll on my mental health. I just want to give up sometimes."
351,Stress,"I just feel so stressed all the time. My parents are always on my case about my grades, and my siblings are all successful, so I feel like I'm the only one who's not living up to their expectations."
330,Heartbreak,"I just feel so lost and heartbroken. My boyfriend of two years just broke up with me out of the blue, and I'm struggling to focus on my studies. I thought we were happy, but I guess I was wrong."
366,Insecurity,"Hi, counselor. I'm feeling really insecure about my long-distance relationship. I'm constantly wondering if my partner is still interested in me, and if we're even worth it. It's been going on for months now, and I just can't shake off this feeling of uncertainty."
81,Overthinking,"Hi, I'm really struggling to set goals for myself. I feel like I'm just drifting through life without any direction. I've been overthinking it so much that it's making me anxious."
416,Sadness,"I just feel so broken, like my whole world has been turned upside down. My boyfriend and I broke up last week, and it's been really tough for me to focus on my studies. I just feel so sad all the time."
176,Regret,"I just feel so burdened by my student loans. I regret taking out so many loans to go to college. I thought it was the only way to get a good education, but now I'm stuck with this huge debt. I'm not even sure if I'll be able to pay it off on time."
302,Hopelessness,"Hi, I just feel so lost. I'm in my second year of college, and all my friends seem to know exactly what they're doing and have a clear direction. I'm just not feeling skilled enough. I feel like I'm just winging it and pretending to be something I'm not. It's really frustrating and makes me feel hopeless."
268,Exhaustion,"Hi, I'm feeling so exhausted all the time. I'm trying to balance school and work, but it seems like there just aren't enough hours in the day. I'm constantly tired, and I feel like I'm failing at everything."
1,Comparison,"Hi, I'm feeling really down about myself. I look around at my peers, and they all seem to be doing so much better than me. They're getting internships, publishing papers, and just seem so much more skilled than I am. I feel like I'm just not good enough."
480,Pressure,"Hi, I'm feeling so pressured. I really want to be financially independent, but it seems like no matter how hard I work, I'm just not making enough. I feel like I'm stuck in a rut and it's affecting my motivation to even go to class."
29,Self-Doubt,"Hi, I'm really struggling with this feeling that I'm going to let my team down. We're working on a group project and I'm in charge of a big part of it. What if I mess up?"
123,Frustration,"I'm so frustrated, I was having the best season of my life and then I got injured. Now I'm stuck on the sidelines watching my teammates play without me. It's driving me crazy!"
481,Worry,"Hi, I'm really worried about not getting a good job after graduation. I feel like I'm not good enough and that I'll be stuck in a dead-end job forever."
343,Exhaustion,"I've been having trouble sleeping for weeks now. I'm exhausted all the time, and it's affecting my studies and social life. I just feel so drained and helpless."
51,Overwhelm,"Hi, I'm just feeling so overwhelmed with all the expectations from my family. They want me to pursue a certain major, get good grades, and even have a specific career path lined up. It's like they're living their life through me."
41,Guilt,"I feel so guilty about not being able to stick to my study plan. I always make excuses and put things off until the last minute. I know I'm capable of doing better, but I just can't seem to get my act together."
234,Frustration,"Hi, I'm really frustrated with myself. I've been putting off this project for weeks, and now it's due in just a few days. I know I should've started earlier, but I just can't seem to get motivated."
228,Nervousness,"Hi, counselor. I don't know how to explain it, but I get really nervous in social situations. Like, my heart starts racing, and I feel like everyone's judging me. It's hard for me to even go to parties or hang out with friends."
122,Shame,"I just feel so ashamed of myself. I'm not good at anything. I'm not smart, I'm not athletic, I'm just average. And it feels like everyone around me is excelling and I'm just stuck in the middle. (tearfully)"
500,Guilt,"I feel so guilty about not being able to stick to my study plan. I know I should be studying more, but I just can't seem to motivate myself. I'm afraid I'm going to fail my classes."
292,Regret,"Hi, I'm feeling really overwhelmed by my student loans. I keep thinking about how I'm going to pay them off and it's just weighing me down. I regret not being more careful with my finances when I was in school."
340,Apathy,"I just can't seem to sleep anymore. I'm constantly tired, and it's affecting everything I do. I just don't care about anything lately."
433,Sadness,"I don't know why, but I just feel so left out. My friends all seem to have their own little cliques and I'm never invited to anything. It's like I'm invisible."
192,Self-Doubt,"Hi, I'm feeling really lost about what I want to do with my life. I'm in my second year of college and everyone around me seems to know what they want to do, but I have no idea. I feel like I'm just drifting through school without a purpose. I'm so confused and unsure of myself."
473,Anxiety,"Hi, I'm feeling really overwhelmed. I'm on the school debate team and we have a big competition coming up. My parents and coaches are all expecting me to win, and I just feel so much pressure. I'm having trouble sleeping and I'm constantly anxious about not meeting their expectations."
130,Frustration,"(frustrated) I just can't believe this happened to me. I was at the top of my game, and now I'm stuck on the sidelines with a torn ACL. It's like my whole identity is wrapped up in sports, and now that's being taken away from me."
164,Hopelessness,"I just feel so hopeless about my student loans. I graduated with a good degree, but the debt is crushing me. I don't know how I'm going to pay it off. It's like I'm drowning in debt."
422,Uncertainty,"I'm really struggling with my long-distance relationship. We've been apart for months, and I feel like we're drifting apart. I'm not sure if it's even worth it anymore. I feel so uncertain about our future together."
280,Guilt,"Hi, I'm really struggling with this feeling of guilt because I'm worried I'm going to let my team down in our group project. We're working on a presentation and I'm responsible for one of the main sections, but I'm just not feeling confident in my abilities."
295,Stress,"Hi, I'm feeling really stressed out. I've been doing competitions for years, and my parents and coaches are always pushing me to win. But the pressure is getting too much. I feel like I'm going to crack under it."
193,Sadness,"Hey, counselor. I'm feeling really down lately. I feel like I'm being left out of all the social events and activities at school. It's like I'm not good enough or popular enough to hang out with anyone."
184,Self-Doubt,I just can't seem to get my grades up no matter how hard I try. I feel like I'm just not cut out for college. I'm starting to doubt myself and my abilities.
352,Exhaustion,"Hi, I'm just feeling so exhausted all the time. I'm trying to balance school and work, but it feels like I'm constantly running on empty. I'm not sure how much longer I can keep this up."
251,Loneliness,"I feel so left out, like nobody wants to hang out with me. I see everyone else having fun, and it's just me, alone. It's really hard to deal with."
76,Hurt,I just feel so hurt by my friends right now. We got into a fight the other day and it really feels like they're not even trying to understand my perspective. It feels like they're just ignoring me and it hurts so much.
328,Guilt,"Hi, counselor. I'm feeling really guilty about my financial situation. I just can't seem to manage my money, and I'm always struggling to make ends meet. I feel like I'm not responsible enough."
21,Stress,"Hi, I'm really stressed out about my family's expectations. They want me to get into a top-tier college and major in engineering, but I have no interest in it. I feel like I'm letting them down if I don't follow their plan."
437,Overwhelm,"I just feel so overwhelmed with managing my money. I never know how much I have, or how much I should be spending. It's like, I know I need to budget, but it's just so hard to keep track of everything. And now I'm in debt, and I don't know how I'm going to get out of it."
105,Loneliness,"I feel so lonely in my relationship. My partner is in a different country, and it's hard to feel connected when we're not physically together. I start wondering if it's even worth it."
255,Anxiety,"I'm so anxious about giving presentations in class. I just freeze up and my mind goes blank. I feel like everyone is judging me and I'm just going to fail. I've tried to practice, but it doesn't seem to help."
127,Worry,"Hi, I'm really worried about my financial situation. I'm struggling to pay my tuition and living expenses, and it's affecting my studies. I feel like I'm drowning in debt."
4,Guilt,I'm so worried about not meeting my team's expectations in our group project. I feel like I'm going to let them down and it's all going to be my fault. I just can't shake off this feeling of guilt.
452,Overwhelm,"I just feel so overwhelmed all the time. I'm trying to keep up with my coursework, maintain a part-time job, and somehow have a social life. It's like I'm drowning in responsibilities. I don't know how to prioritize anything."
183,Resentment,I'm just so tired of my friends always canceling plans at the last minute. It feels like they don't care about me or my feelings. I'm starting to resent them for it.
14,Stress,"Hi, I'm feeling really stressed out about all the competitions I've been participating in lately. I feel like I need to win every single one of them, and if I don't, I'm a failure. It's taking a toll on my mental health."
84,Stress,"Hi, I'm really struggling with online learning. I feel so overwhelmed with the amount of work and the lack of interaction with my instructors and peers. I just feel so stressed out all the time."
142,Frustration,"Hi, I'm just so frustrated with myself. I know I need to study for my exams, but I just can't seem to get myself to do it. I keep procrastinating and wasting time on social media or watching TV. I feel like I'm never going to get my life together."
399,Stress,"Hi, counselor. I'm really struggling to balance my schoolwork and personal life. I feel like I'm constantly stressed and overwhelmed. I'm not sleeping well, and I just feel like I'm barely keeping my head above water."
25,Shame,"I just feel so worthless, like I'm not good enough. I'm struggling in my classes, my parents are always on my case, and I don't have any friends. I just feel like I'm a failure."
211,Frustration,"Hi, I'm really struggling in my classes. I just don't get it, no matter how hard I try. I feel like I'm stupid or something. ( Looks down, frustrated)"
111,Anxiety,"Hi, I'm so overwhelmed with my upcoming exams. I feel like I'm not prepared at all and I'm really anxious about not doing well. I've been having trouble sleeping and my mind is racing with worst-case scenarios."
3,Insecurity,"Hi, I'm really struggling with feeling like I'm not good enough. I always compare myself to others and feel like I'm falling short. I just feel so insecure about myself and my abilities."
279,Loneliness,"I don't know how to deal with this breakup. It's been two weeks, and I still feel so lonely. I thought we were happy, and then suddenly, it was over. I just want to crawl into bed and hide from the world."
204,Guilt,"Hi, I'm feeling really guilty about myself lately. I just can't seem to motivate myself to do anything. I know I should be studying for my exams, but I just end up procrastinating and wasting time. I feel like I'm a total failure."
244,Regret,"Hi, I'm feeling really down about all the rejections I've been getting from internships and jobs. I've applied to over 10 places, and not a single callback. I'm starting to think I'm just not good enough. I regret not doing more, not trying harder. If only I had taken more courses, or gotten more experience..."
486,Hesitation,"Hi, I've been feeling really stuck lately. I know I need to take more risks and step out of my comfort zone, but I'm scared of failing. What if I make the wrong choice?"
154,Frustration,I just can't seem to grasp these subjects no matter how hard I try. I'm so frustrated with myself. I feel like I'm not cut out for this.
436,Self-Doubt,"Hi, I'm really struggling with self-discipline. I always procrastinate and put things off until the last minute. I feel like I'm not good enough and that I'll never be able to get my life together."
477,Loneliness,"Hi, counselor. I'm really struggling with my long-distance relationship right now. We've been apart for a few months, and it feels like we're drifting apart. I feel so lonely all the time, like I'm missing a part of myself."
158,Guilt,"Hi, I'm so frustrated with myself. I always plan to study for exams, but I end up procrastinating and wasting time. I feel so guilty about it."
226,Self-Doubt,"I just feel like I'm not cut out for college. I'm struggling to understand the material in my classes, and it's making me feel so stupid. I don't know how everyone else seems to get it, but I just can't."
263,Hesitation,"Hi, I'm really struggling with taking risks. I feel like I'm holding myself back from opportunities because I'm too afraid to try something new. I just feel so hesitant all the time."
159,Stress,"Hi, I'm just really stressed out lately. I feel like I'm overthinking everything. Whether it's a conversation with a friend, a test grade, or even just what to eat for breakfast, I'm constantly analyzing every little thing and it's exhausting."
316,Frustration,"I just can't seem to understand anything in my subjects, no matter how hard I try. It's like I'm stupid or something. I feel so frustrated and disappointed in myself."
338,Self-Doubt,"I just can't seem to get started on my assignments. I always put them off until the last minute, and then I'm stuck with a ton of work and I end up feeling overwhelmed and like a total failure. I don't know why I do this to myself."
457,Self-Doubt,"Hi, I'm really struggling with getting things done. I know I'm capable, but I just can't seem to stay focused or motivate myself to do my assignments. I feel like I'm failing because of it."
250,Resistance,I don't know why I'm here. I don't need help. I can handle everything on my own.
336,Insecurity,"Hi, I've been feeling really overwhelmed and insecure about my abilities. I just got accepted into this prestigious program, but I feel like I don't belong here. I'm worried that others will find out I'm just pretending to be smart. I feel like an imposter."
496,Stress,"Hi, counselor. I'm feeling really overwhelmed. My parents are always on my case about getting good grades, getting into a top college, and getting a high-paying job. They're always comparing me to my siblings and cousins, and it's like I'm never good enough. I feel like I'm walking on eggshells all the time, trying not to disappoint them. I just can't take it anymore."
406,Disappointment,"Hi, I'm just really disappointed in myself. I've been getting really low grades lately and I feel like I'm not living up to my potential. I know my parents are going to be so upset with me."
58,Regret,"Hi, I'm just feeling really overwhelmed with my student loans. I regret taking out so many loans and I'm not sure how I'm going to pay them back. I feel like I've made a huge mistake."
350,Stress,"Hi, I'm feeling really stressed out about balancing my sports and academics. I'm on the school team, and we have a big game coming up, but I also have a lot of assignments due soon. I feel like I'm being pulled in two different directions, and I don't know how to prioritize."
77,Stress,"Hi, I'm really stressed about my future. I'm afraid I won't get a good job after graduating. I feel like I'm not good enough, and it's keeping me up at night."
214,Overthinking,"Hi, I'm feeling really overwhelmed. I've been thinking about how dependent I am on my parents financially, and it's giving me a lot of anxiety. I feel like I should be able to support myself, but every time I try to make a plan, my mind starts racing with all the things that could go wrong."
92,Overthinking,I just feel so overwhelmed and anxious about my financial situation. I've been stressing about when I'll be able to support myself and move out of my parent's house. I feel like I'm stuck in this perpetual state of dependency and it's really affecting my self-esteem. Sometimes I wonder if I'll ever be able to make enough money to be financially independent.
190,Regret,"Hi, counselor. I'm feeling really down about myself. I've applied to so many internships and jobs, but I've gotten rejected from all of them. I regret not doing things differently, like taking more courses or gaining more experience. I just feel like I've wasted my time."
169,Pressure,"Hi, I'm really struggling with exam stress. I feel like I'm under so much pressure to perform well, and it's affecting my sleep and overall mood. I just don't know how to deal with it anymore."
271,Worry,"Hi, I'm just feeling really overwhelmed. I overthink everything, and it's affecting my daily life. I worry about grades, relationships, what others think of me... it's exhausting."
386,Anxiety,"Hi, I'm really stressed about my financial situation. I'm struggling to make ends meet, and it's affecting my grades and overall well-being. I feel like I'm constantly worried about money, and it's taking a toll on my mental health. I just feel so anxious all the time."
48,Resentment,"I'm so frustrated with my friends right now. We've been friends since freshman year, but lately, it feels like they're not making an effort to hang out or include me in their plans. I feel like I'm always the one reaching out and making suggestions, but they just kind of... ignore me. It's like, I'm not even important to them."
218,Overthinking,"Hi, I'm really nervous about talking to you about this, but I've been feeling really anxious in social situations lately. I overthink everything and worry about what others think of me. It's getting to the point where I'm avoiding going out with friends or participating in class discussions."
285,Loneliness,"I just feel so lost, like I'm wandering through life without a clear direction. I look at my friends and they all seem to have their lives together, but I'm just stuck. It's making me feel really lonely, like I'm the only one who doesn't know what they're doing."
75,Apathy,"Hey, I'm just feeling really unmotivated about online learning. I feel like I'm just going through the motions, and I don't really care about the material. It's all just feeling really pointless."
447,Disappointment,"I just got my grades back and I'm really disappointed in myself. I studied hard, but it seems like it wasn't enough. I feel like I'm not cut out for college."
272,Apathy,"Hey, I don't know what's going on with me lately. I just can't seem to sleep at night, and even when I do, I wake up feeling exhausted. It's like I'm stuck in a rut, and I don't care about anything anymore. I just feel so apathetic all the time."
221,Insecurity,"I feel like I'm just not good enough. I always compare myself to others, and I come up short. I'm starting to think that I'm just not meant to succeed."
364,Comparison,"Hi, I'm so glad I came in today. I've been feeling really overwhelmed and like I don't belong here. Everyone seems so much smarter and more capable than me. I just feel like I'm faking it and waiting for someone to figure out that I'm not actually supposed to be here."
217,Stress,"Hi, I'm feeling really stressed out about all these competitions coming up. I feel like I need to win them all or else I'll be a failure. It's like, my parents, my teachers, even my friends are all expecting me to come out on top. And if I don't, I don't know how they'll react."
319,Apathy,"Hi, I've been having trouble sleeping lately. I just can't seem to get more than 4-5 hours of sleep a night, and when I do sleep, I wake up feeling groggy and unmotivated. Honestly, I just don't care about anything anymore."
35,Insecurity,"Hi, I'm just feeling really down about myself lately. I feel like I'm not good enough, that I'm just not measuring up. I'm always comparing myself to others and coming up short."
114,Sadness,"(sniffling) I just feel so lost and alone. My boyfriend and I broke up a week ago, and it's been really tough for me to focus on school. I thought we were happy, but I guess I was wrong. (starts tearing up)"
384,Uncertainty,"I don't know if I can make this long-distance relationship work. We've been together for three years, but now that we're in different colleges, I feel like we're growing apart. I'm constantly worried that he's moving on or meeting new people. I feel so uncertain about our future together."
262,Shame,"Hi, I'm just feeling really ashamed of myself lately. I feel like I'm not good enough, like I'm just pretending to be someone I'm not. I'm not doing well in school, I don't have many friends, and I just feel like I'm a failure."
33,Self-Doubt,"Hi, I'm really struggling with this feeling of fear of failure. I'm afraid that no matter how hard I try, I'll never be good enough. It's making me feel so uncertain about my future."
208,Guilt,"Hi, I'm really struggling with self-discipline. I always procrastinate and put things off until the last minute. I feel so guilty about it because I know I'm capable of doing better. I just don't know why I can't seem to get my act together."
83,Stress,"I just feel so much pressure to win competitions. My parents, my coaches, even my friends - everyone's always expecting me to come out on top. And if I don't, I feel like I've let them all down. It's just so stressful."
381,Uncertainty,"Hi, I'm really struggling with managing my money. I feel like I'm always broke, and I don't know how to prioritize my expenses. I'm really uncertain about how to get my finances in order."
429,Apathy,"Hey, I don't know what's wrong with me. I used to be so excited about my athletic training, but lately, I just can't seem to care. I feel like I'm just going through the motions every day."
181,Sadness,"(tearfully) I don't know how to deal with this breakup. It's been three weeks and I still can't get over him. We were together since freshman year, and I thought we were going to make it through college together. It feels like a part of me is missing."
253,Insecurity,"Hi, I'm feeling really overwhelmed and like I don't belong here. I'm constantly worried that people will find out I'm not as smart as they think I am. It's like I'm just pretending to be something I'm not."
194,Frustration,"I'm so frustrated, I just can't seem to catch up with my tuition fees and living expenses. I feel like I'm drowning in debt and it's affecting my studies. I'm constantly worried about how I'm going to make ends meet."
47,Shame,"Hi, I'm really struggling with my grades. I just got my report card and it's...not good. I feel so ashamed of myself. I don't know what's wrong with me. I'm just not smart enough, I guess."
403,Overwhelm,"Hi, I'm really struggling to balance my sports and academics. I feel like I'm constantly running from practice to class, and I'm not doing well in either one. I'm so overwhelmed, I don't know how to keep up."
291,Stress,"Hi, I'm feeling so overwhelmed with school right now. I just can't seem to keep up with the workload and it's affecting my grades. I'm constantly stressed out and feeling burnt out. I just want to give up sometimes."
430,Hopelessness,I just feel like I'm not good enough. I look around at my classmates and they all seem so much more skilled than me. I'm just not sure I belong here. (Hopelessness)
189,Uncertainty,"Hey, I'm really struggling to balance my sports commitments with my schoolwork. I feel like I'm barely keeping my head above water, and I'm starting to worry that I'm going to fail either on the field or in the classroom. I just don't know how to prioritize everything."
297,Guilt,"I just feel so guilty about messing up in our group project. I'm worried that I'm going to let everyone down. We're supposed to present in a week, and I still haven't finished my part. I'm so anxious about it."
465,Confusion,"Hi, I'm feeling really lost and confused about who I am and what I want to do with my life. I feel like everyone around me knows what they want to do, but I have no idea. I've been trying to figure it out, but the more I think about it, the more overwhelmed I get."
232,Frustration,"I'm so frustrated with my financial situation. I'm barely scraping by, and I don't know how I'm going to afford tuition next semester. I feel like I'm drowning in debt."
474,Stress,"I'm feeling so overwhelmed. I have assignments piling up, and my part-time job is demanding more hours. I'm barely sleeping, and when I do, I'm waking up with anxiety. I just can't seem to find a balance between my school life and work life. It's taking a toll on my mental health."
355,Worry,"Hi, I'm just really overwhelmed. I feel like I'm overthinking everything, and it's affecting my daily life. I'm constantly worried that I'm making the wrong decisions or forgetting something important."
6,Insecurity,"I just feel so insecure in my long-distance relationship. I'm always wondering if my partner is still interested in me, if they're meeting new people, or if they're just going to leave me. It's driving me crazy."
237,Apathy,"Hey, I don't know why, but I just can't seem to muster up the energy to train anymore. It feels like a chore, and I'm just going through the motions. I used to love it, but now it just feels like a hassle."
258,Hopelessness,"I just feel so hopeless about my student loans. I'm already struggling to make ends meet, and the thought of paying off these loans for the next 10-15 years is just overwhelming. I don't know how I'm going to do it."
281,Exhaustion,"Hi, counselor. I'm really struggling with sleep lately. I just can't seem to fall asleep, and when I do, it's not restful. I'm exhausted all the time, and it's affecting my schoolwork and relationships."
223,Anxiety,"Hi, I'm really struggling with anxiety about failing my upcoming exams. I feel like I'm not prepared enough, and if I don't get good grades, it'll ruin my future. I'm having trouble sleeping and concentrating because of it."
402,Stress,"I just feel so overwhelmed with school right now. I have exam after exam, and I'm not even sure I'm retaining any of the information. I'm constantly studying, but I still don't feel prepared. I'm just so stressed out."
49,Anxiety,"Hi, I'm feeling really anxious about all these competitions coming up. I feel like I have to win or else I'll be a failure. My parents and teachers are always pushing me to be the best, and I don't know how to deal with the pressure."
39,Insecurity,"Hi, I'm just really struggling with feeling good about myself. I always feel like I'm not good enough, and that everyone else is better than me. I just can't shake this feeling of insecurity."
493,Self-Doubt,"Hi, counselor. I'm really struggling with this feeling of self-doubt. I'm on the school soccer team and I'm worried that I'm not good enough, that I'm going to let the team down. I feel like I'm the weakest link and that everyone else is counting on me."
180,Sadness,"I just feel so left out, like I don't belong anywhere. I see all my friends making plans and hanging out without me. Even in class, they all sit together, and I'm just sitting there by myself. It's like I'm invisible."
120,Exhaustion,"Hi, I'm just so exhausted all the time. I haven't been sleeping well and it's affecting my mood, grades, and everything. I just can't seem to catch up on rest no matter how hard I try."
216,Hopelessness,"Hi, I'm just feeling completely overwhelmed by my student loans. I know I'm not alone in this, but it's hard not to feel like I'm drowning in debt. I'm starting to wonder if it was all worth it."
252,Exhaustion,"I just feel so exhausted all the time. I'm constantly studying, attending classes, and doing assignments. I don't have any energy left for anything else. I'm starting to hate school."
442,Worry,I'm really worried about my future. I'm graduating soon and I have no idea if I'll get a good job. What if I'm not good enough? What if I end up stuck in some dead-end job?
300,Exhaustion,"Hi, I'm just so exhausted all the time. I feel like I'm running on empty. I've been having trouble sleeping and it's affecting my grades, my mood, everything."
467,Hesitation,"Hi, I'm really struggling with taking risks. I feel like I'm always playing it safe, but I know that's not going to get me where I want to be. I'm just really hesitant to try new things because I'm afraid of failing."
119,Shame,"Hi, counselor. I'm really struggling with my grades. I just got my report card and it's just terrible. I feel so ashamed. I don't understand why I can't do better. My parents are going to be so disappointed in me."
431,Hopelessness,"I just don't know how I'm going to make it through this. I was supposed to be the captain of the team, and now I'm stuck on the sidelines with a torn ACL. It feels like my entire identity is being taken away from me."
476,Guilt,"I'm really struggling with this group project. We're working on this big presentation, and I'm terrified of letting everyone down. I feel so guilty even thinking about it."
421,Hurt,"I'm really hurt, counselor. My friends and I got into a huge fight last week, and it feels like we can't even talk to each other anymore. I thought we were close, but I guess I was wrong."
148,Overwhelm,"Hi, I'm just feeling really overwhelmed with my studies right now. I've got so many assignments due soon and I just can't seem to keep up. I'm constantly stressed and anxious, and it's affecting my sleep and my relationships. I just feel like I'm drowning in work."
377,Self-Doubt,I'm really struggling with public speaking. I get so nervous and worried that I'm going to mess up or say something stupid. I feel like everyone is judging me and I just freeze up. I don't know how to overcome this fear.
482,Resistance,I don't know why I'm even here. I don't need help. I can handle it on my own.
133,Anxiety,"Hi, I've been feeling really anxious lately. I'm on the debate team and we have a big competition coming up. I feel like I have to win, or else I'll let my team down. I've been having trouble sleeping and I just feel so much pressure."
20,Insecurity,"I just feel like I don't fit in with my classmates. We're always doing group projects, and I'm always the one left out. It makes me feel like I'm not good enough or that there's something wrong with me."
209,Anxiety,"Hi, I'm really anxious about the upcoming competitions. I feel like I have to win, or my parents and coaches will be disappointed. I've been practicing non-stop, but the pressure is getting to me."
212,Stress,"Hi, I'm feeling really overwhelmed about my student loans. I just got my latest statement and it's like, how am I supposed to pay all of this back? It's stressing me out so much."
265,Self-Doubt,"Hi, I'm really struggling with procrastination and self-discipline. I always put off my assignments until the last minute, and it's affecting my grades and my self-confidence. I feel like I'm just not good enough."
423,Guilt,"Hi, I'm really struggling with this team project. I'm afraid I'm not doing my part, and I'm going to let everyone down. I feel so guilty about it."
441,Hopelessness,"Hey, I don't know why I'm even here. I just feel so hopeless. I was supposed to be the star player on the soccer team, and now I'm out for the season with a torn ACL. It feels like my whole identity is gone."
299,Self-Doubt,"I just feel like I don't belong here. I'm not smart enough, and everyone else seems to know what they're doing. I'm just waiting for someone to figure out that I'm faking it."
404,Stress,I just can't stop overthinking everything. It's like my brain is constantly racing and I can't shut it off. I'm so stressed out all the time. I feel like I'm going crazy.
444,Insecurity,"I feel like I'm always left out of social events and gatherings. My friends seem to have so much fun without me, and it makes me wonder if I'm not good enough or if there's something wrong with me. I just feel so insecure about it."
464,Isolation,"Hi, I'm feeling really isolated lately. I'm having trouble connecting with people, and even small social interactions make me super anxious. I just feel like I don't belong anywhere."
439,Overthinking,"Hi, I'm really struggling with taking risks. I feel like I overthink every decision and it paralyzes me from moving forward. I'm worried that if I make a mistake, it'll have long-term consequences."
468,Frustration,"Hi, I'm really frustrated with myself. I always seem to put off important tasks until the last minute, and it's affecting my grades and overall well-being. I know I'm capable of doing better, but I just can't seem to get started on time."
